pid,tid,searchSeq,rank,text
22,2,0,4,T[].sort(): this
22,2,0,5,T[].reverse(): T[]
22,2,0,6,"object[].sortBy(string, string)"
22,2,0,7,T[].forEach(function): void
22,2,0,8,sort(typeof compare)
22,2,0,9,reverse()
22,1,0,0,JSON.parse(string)
22,1,0,1,JSON.stringify(unknown): string
22,1,0,2,map(function)
22,1,0,3,T[].map(function): U[]
22,1,0,4,T[].slice(): T[]
22,1,0,5,JSON.stringify(function): string
22,1,0,6,slice()
22,1,0,7,slice(number)
22,1,0,8,T[].push(T[]): number
22,1,0,9,T[].forEach(function): void
22,6,0,0,use(unknown)
22,6,0,1,static(string)
22,6,0,2,static(unknown)
22,6,0,3,"use(string, unknown)"
22,6,0,4,"join(unknown, string)"
22,6,0,5,"get(string, function)"
22,6,0,6,use(function)
22,6,0,7,"get(string, function, unknown)"
22,6,0,8,express()
22,6,0,9,()
23,2,0,0,T[].sort(function): this
23,2,0,1,sort(function)
23,2,0,2,ObjectConstructor.keys(object): string[]
23,2,0,3,"sortBy(unknown, string)"
23,2,0,4,T[].sort(): this
23,2,0,5,T[].reverse(): T[]
23,2,0,6,"object[].sortBy(string, string)"
23,2,0,7,T[].forEach(function): void
